id,country,region,year,title,budget,expense,sdg,samoa,solution,donors
00091538,ABW,Caribbean,2016,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,377693,239873,13;17,2;4;16,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00087367,ABW,Caribbean,2016,Engagement Facility Aruba,83696,49779,16,1;13,Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00091538,ABW,Caribbean,2017,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,486178,163993,13;17,2;4;16,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00087367,ABW,Caribbean,2017,Engagement Facility Aruba,33000,15669,16,1;13,Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00091538,ABW,Caribbean,2018,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,467819,328945,13;17,2;4;16,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00091538,ABW,Caribbean,2019,Towards creating a Centre of Excellence for Sustainable Development of Small Island Developing States in Aruba,155178,135057,13;17,2;4;16,Others,GOVERNMENT OF NETHERLANDS;UNITED NATIONS DEVELOPMENT PRO
00113359,ABW,Caribbean,2019,Aruba’s SISSTEM Faculty initiative,111795,41794,13,2;4,Others,EUROPEAN COMMISSION
00087367,ABW,Caribbean,2019,Engagement Facility Aruba,6480,5400,16,1;13,Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00113359,ABW,Caribbean,2020,Aruba’s SISSTEM Faculty initiative,2230222,562227,13,2;4,Others,EUROPEAN COMMISSION
00087367,ABW,Caribbean,2020,Engagement Facility Aruba,55717,35237,16,1;13,Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00113359,ABW,Caribbean,2021,Aruba’s SISSTEM Faculty initiative,444950,285743,13,2;4,Others,EUROPEAN COMMISSION
00087367,ABW,Caribbean,2021,Engagement Facility Aruba,0,8588,16,1;13,Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00113359,ABW,Caribbean,2022,Aruba’s SISSTEM Faculty initiative,1611968,402508,13,2;4,Others,EUROPEAN COMMISSION
00087367,ABW,Caribbean,2022,Engagement Facility Aruba,216,114,16,1;13,Others,GOVERNMENT OF ARUBA;UNITED NATIONS DEVELOPMENT PRO
00036824,BHS,Caribbean,2014,Preparetion of SNC to UNFCCC for the Bahamas,8432,8432,,,Others,Global Environment Fund Truste
00036824,BHS,Caribbean,2015,Preparetion of SNC to UNFCCC for the Bahamas,19485,0,,,Others,Global Environment Fund Truste
00036824,BHS,Caribbean,2016,Preparetion of SNC to UNFCCC for the Bahamas,0,4485,,,Others,Global Environment Fund Truste
00059750,BHR,AIS,2012,Enhancing Capacity for Global Economic Governance,437540,327661,10,12;13,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00061812,BHR,AIS,2012,Capacity Development Facility Established at BIPA,266248,250120,1;17,1;16,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00049377,BHR,AIS,2012,Micro Finance,259334,283523,,,Others,Ahli united Bank;GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00066219,BHR,AIS,2012,Gender and Economic Policy Management Initiative - Arab,144200,46199,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00050450,BHR,AIS,2012,Bahrain UPR implementation,89844,79647,,,Others,GOVERNMENT OF BAHRAIN
00057437,BHR,AIS,2012,Parliamentary Secretariate Capcity Development,72801,67306,,,Others,"COUNCIL OF REPRESENTATIVE;GOVERNMENT OF BAHRAIN;Shura Council ,kingdom Of Bahrain"
00058010,BHR,AIS,2012,Women Empowerment Programme,44566,47529,,,Others,GOVERNMENT OF BAHRAIN
00058300,BHR,AIS,2012,Updating National Youth Strategy & Action Plan,41503,-7005,,,Others,General Organization for Youth & Sport;GOVERNMENT OF BAHRAIN
00047117,BHR,AIS,2012,Phase-out of Ozone Depleting Substance of CFCs (TPMP),40000,33331,,,Others,MONTREAL PROTOCOL
00044347,BHR,AIS,2012,Drug Control National Strategy for Bahrain,34215,2568,,,Others,GOVERNMENT OF BAHRAIN
00060062,BHR,AIS,2012,Development of Natl Childhood/Disabilities Strategies,31953,29337,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00044245,BHR,AIS,2012,Supporting Governance & Civic Education,15450,10876,16,1;13,"Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00058375,BHR,AIS,2012,Creation of Arab eContent Centre,3047,28643,,,Others,GOVERNMENT OF BAHRAIN
00059750,BHR,AIS,2013,Enhancing Capacity for Global Economic Governance,555368,366341,10,12;13,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00066219,BHR,AIS,2013,Gender and Economic Policy Management Initiative - Arab,448050,48071,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00061812,BHR,AIS,2013,Capacity Development Facility Established at BIPA,314176,244345,1;17,1;16,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00058010,BHR,AIS,2013,Women Empowerment Programme,92120,74295,,,Others,GOVERNMENT OF BAHRAIN
00049377,BHR,AIS,2013,Micro Finance,23445,27,,,Others,Ahli united Bank;GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00060062,BHR,AIS,2013,Development of Natl Childhood/Disabilities Strategies,15111,7478,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00058300,BHR,AIS,2013,Updating National Youth Strategy & Action Plan,100,0,,,Others,General Organization for Youth & Sport;GOVERNMENT OF BAHRAIN
00044245,BHR,AIS,2013,Supporting Governance & Civic Education,0,0,16,1;13,"Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00066219,BHR,AIS,2014,Gender and Economic Policy Management Initiative - Arab,368475,232191,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00061812,BHR,AIS,2014,Capacity Development Facility Established at BIPA,300000,207311,1;17,1;16,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00044245,BHR,AIS,2014,Supporting Governance & Civic Education,200000,111343,16,1;13,"Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00059750,BHR,AIS,2014,Enhancing Capacity for Global Economic Governance,165418,179140,10,12;13,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00080256,BHR,AIS,2014,Strengthening Capacity of Special Investigation Unit,126884,14129,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00057437,BHR,AIS,2014,Parliamentary Secretariate Capcity Development,81883,47694,,,Others,"COUNCIL OF REPRESENTATIVE;GOVERNMENT OF BAHRAIN;Shura Council ,kingdom Of Bahrain"
00060062,BHR,AIS,2014,Development of Natl Childhood/Disabilities Strategies,30787,6624,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00079015,BHR,AIS,2014,UNCT Workplan 2014 & 2015,1600,1354,,,Others,GOVERNMENT OF BAHRAIN;UNITED NATIONS DEVELOPMENT PRO
00044245,BHR,AIS,2015,Supporting Governance & Civic Education,276621,274513,16,1;13,"Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00059750,BHR,AIS,2015,Enhancing Capacity for Global Economic Governance,261053,281054,10,12;13,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00079213,BHR,AIS,2015,Bahrain Unit for Sustainable Energy,222654,99600,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00061812,BHR,AIS,2015,Capacity Development Facility Established at BIPA,156791,147503,1;17,1;16,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00060062,BHR,AIS,2015,Development of Natl Childhood/Disabilities Strategies,122735,105992,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00079015,BHR,AIS,2015,UNCT Workplan 2014 & 2015,119363,75245,,,Others,GOVERNMENT OF BAHRAIN;UNITED NATIONS DEVELOPMENT PRO
00080256,BHR,AIS,2015,Strengthening Capacity of Special Investigation Unit,108851,64831,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00066219,BHR,AIS,2015,Gender and Economic Policy Management Initiative - Arab,101890,100700,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00057437,BHR,AIS,2015,Parliamentary Secretariate Capcity Development,62463,60545,,,Others,"COUNCIL OF REPRESENTATIVE;GOVERNMENT OF BAHRAIN;Shura Council ,kingdom Of Bahrain"
00079213,BHR,AIS,2016,Bahrain Unit for Sustainable Energy,336845,378860,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00044245,BHR,AIS,2016,Supporting Governance & Civic Education,260000,161960,16,1;13,"Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00097390,BHR,AIS,2016,Country programme document Implementation Support & Monitoring Project,255000,190451,16;17,1;13;16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00059750,BHR,AIS,2016,Enhancing Capacity for Global Economic Governance,189716,196494,10,12;13,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00060062,BHR,AIS,2016,Development of Natl Childhood/Disabilities Strategies,146567,135109,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00080256,BHR,AIS,2016,Strengthening Capacity of Special Investigation Unit,47928,27077,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00061812,BHR,AIS,2016,Capacity Development Facility Established at BIPA,30573,29437,1;17,1;16,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00066219,BHR,AIS,2016,Gender and Economic Policy Management Initiative - Arab,2801,2732,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00079015,BHR,AIS,2016,UNCT Workplan 2014 & 2015,1487,43911,,,Others,GOVERNMENT OF BAHRAIN;UNITED NATIONS DEVELOPMENT PRO
00079213,BHR,AIS,2017,Bahrain Unit for Sustainable Energy,663155,459714,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,BHR,AIS,2017,Country programme document Implementation Support & Monitoring Project,571295,349766,16;17,1;13;16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00044245,BHR,AIS,2017,Supporting Governance & Civic Education,115441,91180,16,1;13,"Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00099265,BHR,AIS,2017,Bahrain Housing Policy Revision,70000,1524,11;7;8,1;4;8;10;3;1,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;OFDPM - Office of the First Deputy Prime Minister
00104018,BHR,AIS,2017,Bahrain Human Development Report 2018,61800,10072,1;8;9,1;1;1;8,Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00059750,BHR,AIS,2017,Enhancing Capacity for Global Economic Governance,45911,45855,10,12;13,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00060062,BHR,AIS,2017,Development of Natl Childhood/Disabilities Strategies,42467,35522,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00080256,BHR,AIS,2017,Strengthening Capacity of Special Investigation Unit,25923,929,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00099528,BHR,AIS,2017,Middle East and North Africa Administration Research institutionalization,25750,5225,17;3,16;11,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00061812,BHR,AIS,2017,Capacity Development Facility Established at BIPA,5446,0,1;17,1;16,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00079213,BHR,AIS,2018,Bahrain Unit for Sustainable Energy,1166382,1129083,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,BHR,AIS,2018,Country programme document Implementation Support & Monitoring Project,535000,526322,16;17,1;13;16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00104018,BHR,AIS,2018,Bahrain Human Development Report 2018,159928,152390,1;8;9,1;1;1;8,Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00099265,BHR,AIS,2018,Bahrain Housing Policy Revision,158625,147656,11;7;8,1;4;8;10;3;1,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;OFDPM - Office of the First Deputy Prime Minister
00099528,BHR,AIS,2018,Middle East and North Africa Administration Research institutionalization,134710,92155,17;3,16;11,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099264,BHR,AIS,2018,Support to Bah 2018 SDGs VNR Process,110000,51305,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00099267,BHR,AIS,2018,Strategic Positioning & Partnership,92893,84460,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00066219,BHR,AIS,2018,Gender and Economic Policy Management Initiative - Arab,80068,2486,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00109367,BHR,AIS,2018,Support to King Hamad Award,76780,31538,4,12;13,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00044245,BHR,AIS,2018,Supporting Governance & Civic Education,30879,30868,16,1;13,"Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00080256,BHR,AIS,2018,Strengthening Capacity of Special Investigation Unit,21995,5410,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00060062,BHR,AIS,2018,Development of Natl Childhood/Disabilities Strategies,6942,0,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00061812,BHR,AIS,2018,Capacity Development Facility Established at BIPA,5446,5356,1;17,1;16,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00079213,BHR,AIS,2019,Bahrain Unit for Sustainable Energy,2125777,1230132,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,BHR,AIS,2019,Country programme document Implementation Support & Monitoring Project,497862,384098,16;17,1;13;16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00120246,BHR,AIS,2019,State of Arab Cities Report 2020,332540,23822,8;9,1;1;8,Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00080256,BHR,AIS,2019,Strengthening Capacity of Special Investigation Unit,165657,46170,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00066219,BHR,AIS,2019,Gender and Economic Policy Management Initiative - Arab,142342,1545,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00113912,BHR,AIS,2019,Support to Innovation Lab at BIPA,99646,45143,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099264,BHR,AIS,2019,Support to Bah 2018 SDGs VNR Process,48682,30680,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00099528,BHR,AIS,2019,Middle East and North Africa Administration Research institutionalization,17685,34982,17;3,16;11,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099265,BHR,AIS,2019,Bahrain Housing Policy Revision,10912,2808,11;7;8,1;4;8;10;3;1,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;OFDPM - Office of the First Deputy Prime Minister
00109367,BHR,AIS,2019,Support to King Hamad Award,9270,4123,4,12;13,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00099267,BHR,AIS,2019,Strategic Positioning & Partnership,7107,0,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00060062,BHR,AIS,2019,Development of Natl Childhood/Disabilities Strategies,5752,4885,1;8,1;1,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00104018,BHR,AIS,2019,Bahrain Human Development Report 2018,3729,7657,1;8;9,1;1;1;8,Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00079213,BHR,AIS,2020,Bahrain Unit for Sustainable Energy,1083901,1241529,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,BHR,AIS,2020,Country programme document Implementation Support & Monitoring Project,535000,162227,16;17,1;13;16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00120246,BHR,AIS,2020,State of Arab Cities Report 2020,501209,127585,8;9,1;1;8,Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00122153,BHR,AIS,2020,2030 agenda promotion & SDGs,231433,23484,17,16,Keeping people out of poverty,University of Bahrain
00066219,BHR,AIS,2020,Gender and Economic Policy Management Initiative - Arab,113015,8760,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00088020,BHR,AIS,2020,Engagement Facility,100659,114220,8;9,1;1;8,Keeping people out of poverty,UNITED NATIONS DEVELOPMENT PRO
00113912,BHR,AIS,2020,Support to Innovation Lab at BIPA,70174,72971,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099267,BHR,AIS,2020,Strategic Positioning & Partnership,47100,18137,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00080256,BHR,AIS,2020,Strengthening Capacity of Special Investigation Unit,35444,-221,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00099264,BHR,AIS,2020,Support to Bah 2018 SDGs VNR Process,27987,7103,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00109367,BHR,AIS,2020,Support to King Hamad Award,26497,29,4,12;13,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00079213,BHR,AIS,2021,Bahrain Unit for Sustainable Energy,1258126,1208579,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00122153,BHR,AIS,2021,2030 agenda promotion & SDGs,406341,14849,17,16,Keeping people out of poverty,University of Bahrain
00097390,BHR,AIS,2021,Country programme document Implementation Support & Monitoring Project,315754,287197,16;17,1;13;16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00120246,BHR,AIS,2021,State of Arab Cities Report 2020,109397,63763,8;9,1;1;8,Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00066219,BHR,AIS,2021,Gender and Economic Policy Management Initiative - Arab,107904,28619,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00080256,BHR,AIS,2021,Strengthening Capacity of Special Investigation Unit,70421,13264,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00099267,BHR,AIS,2021,Strategic Positioning & Partnership,27531,1475,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00113912,BHR,AIS,2021,Support to Innovation Lab at BIPA,27485,21846,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00109367,BHR,AIS,2021,Support to King Hamad Award,26857,8142,4,12;13,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00099264,BHR,AIS,2021,Support to Bah 2018 SDGs VNR Process,20884,0,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00088020,BHR,AIS,2021,Engagement Facility,0,-29635,8;9,1;1;8,Keeping people out of poverty,UNITED NATIONS DEVELOPMENT PRO
00079213,BHR,AIS,2022,Bahrain Unit for Sustainable Energy,397875,318334,1;11;7;9,1;1;4;8;10;3;1;8,Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00122153,BHR,AIS,2022,2030 agenda promotion & SDGs,347537,12004,17,16,Keeping people out of poverty,University of Bahrain
00097390,BHR,AIS,2022,Country programme document Implementation Support & Monitoring Project,268366,186827,16;17,1;13;16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00066219,BHR,AIS,2022,Gender and Economic Policy Management Initiative - Arab,64388,0,5,13,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00080256,BHR,AIS,2022,Strengthening Capacity of Special Investigation Unit,57396,2459,16,1;13,"Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00120246,BHR,AIS,2022,State of Arab Cities Report 2020,52348,3097,8;9,1;1;8,Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00099267,BHR,AIS,2022,Strategic Positioning & Partnership,27488,0,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00099264,BHR,AIS,2022,Support to Bah 2018 SDGs VNR Process,20884,0,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00113912,BHR,AIS,2022,Support to Innovation Lab at BIPA,20041,8240,17,16,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00109367,BHR,AIS,2022,Support to King Hamad Award,18715,0,4,12;13,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00051479,BRB,Caribbean,2012,Regional Risk Reduction Initiative,4143904,3920835,13,2;4,Others,EUROPEAN COMMISSION;UNDETERMINED;UNITED NATIONS DEVELOPMENT PRO
