id,country,region,year,title,budget,expense,sdg,samoa,solution,donors
00075317,BLZ,Caribbean,2013,UNDP/COMPACT/ OAK Foundation Re-Granting Programme,79858,78390,14;15,5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00075737,BLZ,Caribbean,2013,Support for  the Development of National Growth and Pove,75000,74999,16,1;13,Others,"Department of Foreign Affairs, Trade and Development;MPTF-SDG Fund;UNITED NATIONS DEVELOPMENT PRO"
00056493,BLZ,Caribbean,2013,Supporting Disaster Risk Reduction & Emergency Response,70949,77603,,,Others,UNITED NATIONS DEVELOPMENT PRO
00061353,BLZ,Caribbean,2013,MDG Water Governance  Project,68879,67618,,,Others,UNITED NATIONS DEVELOPMENT PRO
00068583,BLZ,Caribbean,2013,Biodiversity Enabling Activity,65441,65441,15,10;15,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00061828,BLZ,Caribbean,2013,BZE/PHA/62/INV/26 HCFC Phase out Plan for Belize,60000,0,12,9;10,Promote nature-based solutions for a sustainable planet,MONTREAL PROTOCOL
00064819,BLZ,Caribbean,2013,"Increased Prosecution, Leadership, & Youth Engagement",55399,48134,,,Others,UNITED NATIONS DEVELOPMENT PRO
00068113,BLZ,Caribbean,2013,Removing Barriers to Women's Political Representation,51642,51642,,,Others,THE UNITED NATIONS DEMOCRACY FUND (UNDEF)
00075309,BLZ,Caribbean,2013,Capacity-building for Natural Resources Management,1534,338,,,Others,Global Environment Fund Truste
00068453,BLZ,Caribbean,2014,Enhancing Belize’s capacity to adapt to Climate Change,2060441,1817325,13,2;4,Others,EUROPEAN COMMISSION;UNITED NATIONS DEVELOPMENT PRO
00060888,BLZ,Caribbean,2014,ROUND 9 Global Fund Belize,1245797,1123414,3,11,Others,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00059614,BLZ,Caribbean,2014,Strengthening Capacities for Protected Areas Management,225799,225799,,,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00075317,BLZ,Caribbean,2014,UNDP/COMPACT/ OAK Foundation Re-Granting Programme,102030,102030,14;15,5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00068113,BLZ,Caribbean,2014,Removing Barriers to Women's Political Representation,70949,70949,,,Others,THE UNITED NATIONS DEMOCRACY FUND (UNDEF)
00075737,BLZ,Caribbean,2014,Support for  the Development of National Growth and Pove,62689,47525,16,1;13,Others,"Department of Foreign Affairs, Trade and Development;MPTF-SDG Fund;UNITED NATIONS DEVELOPMENT PRO"
00068583,BLZ,Caribbean,2014,Biodiversity Enabling Activity,55427,46358,15,10;15,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00077232,BLZ,Caribbean,2014,Belize Chemicals and Waste Management Programme,50000,49488,,,Others,Global Environment Fund Truste
00060605,BLZ,Caribbean,2014,Self Assessment for the Third National Communication,45515,60417,,,Others,Global Environment Fund Truste
00075309,BLZ,Caribbean,2014,Capacity-building for Natural Resources Management,23467,23414,,,Others,Global Environment Fund Truste
00063098,BLZ,Caribbean,2014,Belize City Southside Youth Success,15799,15834,,,Others,"US Department of State, Office to monitor & combat Tracking in persons."
00080422,BLZ,Caribbean,2014,Enhanced Access to Legal Aid and Pro Bono Services,15345,15195,,,Others,UNITED NATIONS DEVELOPMENT PRO
00064819,BLZ,Caribbean,2014,"Increased Prosecution, Leadership, & Youth Engagement",8966,8966,,,Others,UNITED NATIONS DEVELOPMENT PRO
00061828,BLZ,Caribbean,2014,BZE/PHA/62/INV/26 HCFC Phase out Plan for Belize,0,60000,12,9;10,Promote nature-based solutions for a sustainable planet,MONTREAL PROTOCOL
00060888,BLZ,Caribbean,2015,ROUND 9 Global Fund Belize,1256753,1068531,3,11,Others,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00079317,BLZ,Caribbean,2015,Belize Chemicals and Waste Management Project,594156,594156,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00075317,BLZ,Caribbean,2015,UNDP/COMPACT/ OAK Foundation Re-Granting Programme,163580,150583,14;15,5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00060605,BLZ,Caribbean,2015,Self Assessment for the Third National Communication,155000,153515,,,Others,Global Environment Fund Truste
00080643,BLZ,Caribbean,2015,Capacity-building for sustainable Natural Resource Mgmt,113644,113644,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00068583,BLZ,Caribbean,2015,Biodiversity Enabling Activity,102630,79403,15,10;15,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00075737,BLZ,Caribbean,2015,Support for  the Development of National Growth and Pove,93319,93318,16,1;13,Others,"Department of Foreign Affairs, Trade and Development;MPTF-SDG Fund;UNITED NATIONS DEVELOPMENT PRO"
00068453,BLZ,Caribbean,2015,Enhancing Belize’s capacity to adapt to Climate Change,78225,527753,13,2;4,Others,EUROPEAN COMMISSION;UNITED NATIONS DEVELOPMENT PRO
00068113,BLZ,Caribbean,2015,Removing Barriers to Women's Political Representation,62407,62407,,,Others,THE UNITED NATIONS DEMOCRACY FUND (UNDEF)
00059614,BLZ,Caribbean,2015,Strengthening Capacities for Protected Areas Management,22433,22433,,,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00077232,BLZ,Caribbean,2015,Belize Chemicals and Waste Management Programme,0,472,,,Others,Global Environment Fund Truste
00084493,BLZ,Caribbean,2016,Investing for Impact against Tuberculosis & HIV in Belize,1013240,796947,1;3,1;11,Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS"
00080643,BLZ,Caribbean,2016,Capacity-building for sustainable Natural Resource Mgmt,223105,223105,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00079317,BLZ,Caribbean,2016,Belize Chemicals and Waste Management Project,113404,113402,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00094261,BLZ,Caribbean,2016,UNDP/ OAK Re-Granting Partnership Phase 2,91221,91221,1;11;15,1;1;4;8;10;10;15,Keeping people out of poverty,Oak Foundation
00060888,BLZ,Caribbean,2016,ROUND 9 Global Fund Belize,70470,3718,3,11,Others,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00098844,BLZ,Caribbean,2016,Support to Debris Management and Planning,50734,43234,17,16,Others,GOVERNMENT OF CHILE;UNITED NATIONS DEVELOPMENT PRO
00075737,BLZ,Caribbean,2016,Support for  the Development of National Growth and Pove,40940,32636,16,1;13,Others,"Department of Foreign Affairs, Trade and Development;MPTF-SDG Fund;UNITED NATIONS DEVELOPMENT PRO"
00068453,BLZ,Caribbean,2016,Enhancing Belize’s capacity to adapt to Climate Change,31000,274,13,2;4,Others,EUROPEAN COMMISSION;UNITED NATIONS DEVELOPMENT PRO
00096198,BLZ,Caribbean,2016,Policy and Support to Gender in Belize,10119,10119,5,13,Others,UNITED NATIONS DEVELOPMENT PRO
00075317,BLZ,Caribbean,2016,UNDP/COMPACT/ OAK Foundation Re-Granting Programme,5000,236,14;15,5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00068583,BLZ,Caribbean,2016,Biodiversity Enabling Activity,0,32297,15,10;15,Others,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00084493,BLZ,Caribbean,2017,Investing for Impact against Tuberculosis & HIV in Belize,1282512,1090147,1;3,1;11,Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS"
00080643,BLZ,Caribbean,2017,Capacity-building for sustainable Natural Resource Mgmt,502240,383997,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00079317,BLZ,Caribbean,2017,Belize Chemicals and Waste Management Project,281703,274783,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00100299,BLZ,Caribbean,2017,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,226835,216633,12;16,9;10;1;13,"Strengthen effective, inclusive and accountable governance","UNDP Funding Windows;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00094261,BLZ,Caribbean,2017,UNDP/ OAK Re-Granting Partnership Phase 2,165467,165467,1;11;15,1;1;4;8;10;10;15,Keeping people out of poverty,Oak Foundation
00087297,BLZ,Caribbean,2017,Fourth National Communication and First Biennial Update Report to the United Nations Framework Convention on Climate Change,110878,79530,13,2;4,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00098844,BLZ,Caribbean,2017,Support to Debris Management and Planning,56766,54021,17,16,Others,GOVERNMENT OF CHILE;UNITED NATIONS DEVELOPMENT PRO
00068453,BLZ,Caribbean,2017,Enhancing Belize’s capacity to adapt to Climate Change,26700,0,13,2;4,Others,EUROPEAN COMMISSION;UNITED NATIONS DEVELOPMENT PRO
00075737,BLZ,Caribbean,2017,Support for  the Development of National Growth and Pove,21148,15686,16,1;13,Others,"Department of Foreign Affairs, Trade and Development;MPTF-SDG Fund;UNITED NATIONS DEVELOPMENT PRO"
00060888,BLZ,Caribbean,2017,ROUND 9 Global Fund Belize,0,87,3,11,Others,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00075317,BLZ,Caribbean,2017,UNDP/COMPACT/ OAK Foundation Re-Granting Programme,0,20,14;15,5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00096198,BLZ,Caribbean,2017,Policy and Support to Gender in Belize,-76,0,5,13,Others,UNITED NATIONS DEVELOPMENT PRO
00084493,BLZ,Caribbean,2018,Investing for Impact against Tuberculosis & HIV in Belize,1226831,1162329,1;3,1;11,Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS"
00109852,BLZ,Caribbean,2018,Referendum on Border Dispute,614106,274079,16,1;13,Promote nature-based solutions for a sustainable planet,"GOVERNMENT OF UNITED KINGDOM;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00110085,BLZ,Caribbean,2018,"Support to Infrastructure for Human Development, Health",442503,43532,11;4,1;4;8;10;12;13,Keeping people out of poverty,GOVERNMENT OF INDIA
00087297,BLZ,Caribbean,2018,Fourth National Communication and First Biennial Update Report to the United Nations Framework Convention on Climate Change,251486,262455,13,2;4,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00094261,BLZ,Caribbean,2018,UNDP/ OAK Re-Granting Partnership Phase 2,224143,97364,1;11;15,1;1;4;8;10;10;15,Keeping people out of poverty,Oak Foundation
00080643,BLZ,Caribbean,2018,Capacity-building for sustainable Natural Resource Mgmt,123683,130612,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00107807,BLZ,Caribbean,2018,Integrated Mgmt of prod. landscapes to deliver GEBs,119328,81299,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00100299,BLZ,Caribbean,2018,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,106912,78007,12;16,9;10;1;13,"Strengthen effective, inclusive and accountable governance","UNDP Funding Windows;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00079317,BLZ,Caribbean,2018,Belize Chemicals and Waste Management Project,26366,26366,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00061828,BLZ,Caribbean,2018,BZE/PHA/62/INV/26 HCFC Phase out Plan for Belize,6000,0,12,9;10,Promote nature-based solutions for a sustainable planet,MONTREAL PROTOCOL
00075317,BLZ,Caribbean,2018,UNDP/COMPACT/ OAK Foundation Re-Granting Programme,2742,2742,14;15,5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00096198,BLZ,Caribbean,2018,Policy and Support to Gender in Belize,0,-76,5,13,Others,UNITED NATIONS DEVELOPMENT PRO
00114260,BLZ,Caribbean,2019,Resilience HIV TB Response Belize,695932,578278,3,11,Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00109852,BLZ,Caribbean,2019,Referendum on Border Dispute,658330,604737,16,1;13,Promote nature-based solutions for a sustainable planet,"GOVERNMENT OF UNITED KINGDOM;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00110085,BLZ,Caribbean,2019,"Support to Infrastructure for Human Development, Health",544677,195983,11;4,1;4;8;10;12;13,Keeping people out of poverty,GOVERNMENT OF INDIA
00087297,BLZ,Caribbean,2019,Fourth National Communication and First Biennial Update Report to the United Nations Framework Convention on Climate Change,338664,324521,13,2;4,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00100299,BLZ,Caribbean,2019,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,283424,109678,12;16,9;10;1;13,"Strengthen effective, inclusive and accountable governance","UNDP Funding Windows;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00094261,BLZ,Caribbean,2019,UNDP/ OAK Re-Granting Partnership Phase 2,145909,43205,1;11;15,1;1;4;8;10;10;15,Keeping people out of poverty,Oak Foundation
00107807,BLZ,Caribbean,2019,Integrated Mgmt of prod. landscapes to deliver GEBs,51121,45269,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00084493,BLZ,Caribbean,2019,Investing for Impact against Tuberculosis & HIV in Belize,38142,20541,1;3,1;11,Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS"
00080643,BLZ,Caribbean,2019,Capacity-building for sustainable Natural Resource Mgmt,33878,14585,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00122725,BLZ,Caribbean,2019,Enabling Gender-Responsive Disaster Recovery,23847,23847,1;11;13,1;1;4;8;10;2;4,Keeping people out of poverty,"DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID);Department of Foreign Affairs, Trade and Development;UNITED NATIONS DEVELOPMENT PRO"
00119993,BLZ,Caribbean,2019,Enhancing jaguar corridors and strongholds,18304,18304,15,10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00079317,BLZ,Caribbean,2019,Belize Chemicals and Waste Management Project,11735,11735,12;15,9;10;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00124263,BLZ,Caribbean,2020,Resilience HIV/TB Response Belize,769735,665512,3,11,Others;Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00122725,BLZ,Caribbean,2020,Enabling Gender-Responsive Disaster Recovery,398834,341157,1;11;13,1;1;4;8;10;2;4,Keeping people out of poverty,"DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID);Department of Foreign Affairs, Trade and Development;UNITED NATIONS DEVELOPMENT PRO"
00122758,BLZ,Caribbean,2020,Spotlight Initiative,379961,302310,1;16;5,1;1;13;13,Keeping people out of poverty,MPTFO-Spotlight Initiative Fund (SIF00);UNITED NATIONS DEVELOPMENT PRO
00110085,BLZ,Caribbean,2020,"Support to Infrastructure for Human Development, Health",298153,236252,11;4,1;4;8;10;12;13,Keeping people out of poverty,GOVERNMENT OF INDIA
00123914,BLZ,Caribbean,2020,Belize 4th National Communication to UNFCCC/BUR,250716,164171,12;13;14;15,9;10;2;4;5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA);UNITED NATIONS DEVELOPMENT PRO
00127751,BLZ,Caribbean,2020,COVID-19 Rapid Response Facility Resources,217000,217000,1,1,Keeping people out of poverty,UNITED NATIONS DEVELOPMENT PRO
00124336,BLZ,Caribbean,2020,UNDP/OAK Re-granting Partnership,102940,98955,1;11,1;1;4;8;10,Keeping people out of poverty,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00123964,BLZ,Caribbean,2020,Enhancing jaguar corridors and strongholds,31696,25975,12;14;15,9;10;5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00128465,BLZ,Caribbean,2020,Engagement Facility,24000,11050,8,1,Others;Enhance national prevention and recovery capacities for resilient societies,UNITED NATIONS DEVELOPMENT PRO
00109852,BLZ,Caribbean,2020,Referendum on Border Dispute,721,360,16,1;13,Promote nature-based solutions for a sustainable planet,"GOVERNMENT OF UNITED KINGDOM;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00100299,BLZ,Caribbean,2020,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,130,1430,12;16,9;10;1;13,"Strengthen effective, inclusive and accountable governance","UNDP Funding Windows;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00094261,BLZ,Caribbean,2020,UNDP/ OAK Re-Granting Partnership Phase 2,56,753,1;11;15,1;1;4;8;10;10;15,Keeping people out of poverty,Oak Foundation
00087297,BLZ,Caribbean,2020,Fourth National Communication and First Biennial Update Report to the United Nations Framework Convention on Climate Change,0,-13780,13,2;4,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00114260,BLZ,Caribbean,2020,Resilience HIV TB Response Belize,0,23542,3,11,Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00124263,BLZ,Caribbean,2021,Resilience HIV/TB Response Belize,1312624,845673,3,11,Others;Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00122725,BLZ,Caribbean,2021,Enabling Gender-Responsive Disaster Recovery,647703,494221,1;11;13,1;1;4;8;10;2;4,Keeping people out of poverty,"DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID);Department of Foreign Affairs, Trade and Development;UNITED NATIONS DEVELOPMENT PRO"
00122758,BLZ,Caribbean,2021,Spotlight Initiative,556703,504048,1;16;5,1;1;13;13,Keeping people out of poverty,MPTFO-Spotlight Initiative Fund (SIF00);UNITED NATIONS DEVELOPMENT PRO
00123914,BLZ,Caribbean,2021,Belize 4th National Communication to UNFCCC/BUR,251954,241817,12;13;14;15,9;10;2;4;5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA);UNITED NATIONS DEVELOPMENT PRO
00134281,BLZ,Caribbean,2021,Building Resilient MSMEs - Accelerating Digitization,210437,189021,1;5,1;13,Others,UNITED NATIONS DEVELOPMENT PRO
00128465,BLZ,Caribbean,2021,Engagement Facility,117000,111691,8,1,Others;Enhance national prevention and recovery capacities for resilient societies,UNITED NATIONS DEVELOPMENT PRO
00110085,BLZ,Caribbean,2021,"Support to Infrastructure for Human Development, Health",113683,109871,11;4,1;4;8;10;12;13,Keeping people out of poverty,GOVERNMENT OF INDIA
00122762,BLZ,Caribbean,2021,Enhancing jaguar corridors and strongholds,20001,20000,12;14;15,9;10;5;10;14;10;15,Others;Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;GOVERNMENT OF FRANCE;UNITED NATIONS DEVELOPMENT PRO
00109852,BLZ,Caribbean,2021,Referendum on Border Dispute,11505,7017,16,1;13,Promote nature-based solutions for a sustainable planet,"GOVERNMENT OF UNITED KINGDOM;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00123964,BLZ,Caribbean,2021,Enhancing jaguar corridors and strongholds,5721,5717,12;14;15,9;10;5;10;14;10;15,Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste
00124336,BLZ,Caribbean,2021,UNDP/OAK Re-granting Partnership,2065,5883,1;11,1;1;4;8;10,Keeping people out of poverty,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00137462,BLZ,Caribbean,2021,Piloting e-mobility within Belize’s Public Transport Sys,0,0,11;13,1;4;8;10;2;4,Keeping people out of poverty,EUROPEAN COMMISSION
00137462,BLZ,Caribbean,2022,Piloting e-mobility within Belize’s Public Transport Sys,2029148,48107,11;13,1;4;8;10;2;4,Keeping people out of poverty,EUROPEAN COMMISSION
00122725,BLZ,Caribbean,2022,Enabling Gender-Responsive Disaster Recovery,548422,321686,1;11;13,1;1;4;8;10;2;4,Keeping people out of poverty,"DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID);Department of Foreign Affairs, Trade and Development;UNITED NATIONS DEVELOPMENT PRO"
00124263,BLZ,Caribbean,2022,Resilience HIV/TB Response Belize,479236,481043,3,11,Others;Keeping people out of poverty,"GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS;UNITED NATIONS DEVELOPMENT PRO"
00122762,BLZ,Caribbean,2022,Enhancing jaguar corridors and strongholds,478750,134282,12;14;15,9;10;5;10;14;10;15,Others;Promote nature-based solutions for a sustainable planet,Global Environment Fund Truste;GOVERNMENT OF FRANCE;UNITED NATIONS DEVELOPMENT PRO
00144481,BLZ,Caribbean,2022,Climate Promise: From Pledge to Impact,383766,50504,,,Others,"FEDERAL MINISTRY FOR THE ENVIRONMENT, NATURE CONVSERVATION AND NUCLEAR SAFETY.;UNITED NATIONS DEVELOPMENT PRO"
00145057,BLZ,Caribbean,2022,Digital Transformation Program,229655,16210,,,Others,GOVERNMENT OF BELIZE;GOVERNMENT OF CAYMAN ISLANDS;UNDP Funding Windows;UNITED NATIONS DEVELOPMENT PRO
00134281,BLZ,Caribbean,2022,Building Resilient MSMEs - Accelerating Digitization,170979,119168,1;5,1;13,Others,UNITED NATIONS DEVELOPMENT PRO
00140364,BLZ,Caribbean,2022,Strengthening Access to Justice in Belize,100000,63962,,,Others,SWISS AGENCY FOR DEVELOPMENT AND COOPERATION - SDC;UNITED NATIONS DEVELOPMENT PRO
00122758,BLZ,Caribbean,2022,Spotlight Initiative,79049,92680,1;16;5,1;1;13;13,Keeping people out of poverty,MPTFO-Spotlight Initiative Fund (SIF00);UNITED NATIONS DEVELOPMENT PRO
00126230,BLZ,Caribbean,2022,Integrated management of production landscapes to delive,20000,14000,,,Others,UNITED NATIONS DEVELOPMENT PRO
00128465,BLZ,Caribbean,2022,Engagement Facility,5000,1223,8,1,Others;Enhance national prevention and recovery capacities for resilient societies,UNITED NATIONS DEVELOPMENT PRO
00124336,BLZ,Caribbean,2022,UNDP/OAK Re-granting Partnership,4294,165,1;11,1;1;4;8;10,Keeping people out of poverty,Oak Foundation;UNITED NATIONS DEVELOPMENT PRO
00100299,BLZ,Caribbean,2022,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,3100,1522,12;16,9;10;1;13,"Strengthen effective, inclusive and accountable governance","UNDP Funding Windows;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00109852,BLZ,Caribbean,2022,Referendum on Border Dispute,1,-20785,16,1;13,Promote nature-based solutions for a sustainable planet,"GOVERNMENT OF UNITED KINGDOM;UNITED NATIONS DEVELOPMENT PRO;US Department of State, Office to monitor & combat Tracking in persons."
00058319,CPV,AIS,2012,Consolidation Aires Protegés Cap Vert,1445790,1353456,15,10;15,Others,Global Environment Fund Truste;GOVERNMENT OF CAPE VERDE;UNITED NATIONS DEVELOPMENT PRO
00058318,CPV,AIS,2012,Suivi Programme National Action Adaptation,784104,765882,13,2;4,Others,CANADIAN INTERNATIONAL DEVELOPMENT AGENCY;Global Environment Fund Truste;UNITED NATIONS DEVELOPMENT PRO
00065442,CPV,AIS,2012,Governance for the sustainable reduction of risks,281665,135978,13,2;4,Others;Keeping people out of poverty,AFRICAN DEVELOPMENT BANK;Global Environment Fund Truste;GOVERNMENT OF CAPE VERDE;GOVERNMENT OF DENMARK;GOVERNMENT OF FRANCE;MDTFO/UNDP CVF;UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT;UNITED NATIONS DEVELOPMENT PRO;UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID)
00043109,CPV,AIS,2012,GOUVERNANCE DEMOCRATIQUE,275230,188412,,,Others,GOVERNMENT OF LUXEMBOURG;GOVERNMENT OF SPAIN;OFFICE OF THE HIGH COMMISSIONER FOR HUMAN RIGHTS;UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT;UNITED NATIONS DEVELOPMENT PRO
00065647,CPV,AIS,2012,PLANIFICATION STRATEGIQUE ET ANALYSE PROSPECTIVE,228434,217127,1;16;17,1;1;13;16,"Others;Strengthen effective, inclusive and accountable governance",MDTFO/UNDP CVF;UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT;UNITED NATIONS DEVELOPMENT PRO
00065430,CPV,AIS,2012,DECENTRALISATION ET DEVELOPPEMENT LOCAL,160000,139043,1;10,1;12;13,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF ITALY;Madrid City Council;MDTFO/UNDP CVF;UNITED NATIONS DEVELOPMENT PRO
00058142,CPV,AIS,2012,DESSALINATION DU L'EAU S.NICOLAU,145512,15861,1,1,Others,UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT;UNITED NATIONS DEVELOPMENT PRO
00048223,CPV,AIS,2012,Adaptation Changement Climatique Cape Verde,75905,71634,,,Others,Global Environment Fund Truste;GOVERNMENT OF CANADA;GOVERNMENT OF CAPE VERDE
00046405,CPV,AIS,2012,UN Country Coordination,69885,40916,,,Others,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS;GOVERNMENT OF LUXEMBOURG;UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT;UNITED NATIONS DEVELOPMENT PRO
00065571,CPV,AIS,2012,COORDINATION ET SUIVI MISE EN OEUVRE DES CONVENTIONS,50000,23034,16,1;13,"Strengthen effective, inclusive and accountable governance",MDTFO/UNDP CVF;UNITED NATIONS DEVELOPMENT PRO
00012227,CPV,AIS,2012,Biodiversité et Aires Protegés,37623,19113,13,2;4,Others,GOVERNMENT OF CAPE VERDE;UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT;UNITED NATIONS DEVELOPMENT PRO
00065432,CPV,AIS,2012,Prestation équitable/qualité des services santé,28922,0,1,1,Others;Keeping people out of poverty,GOVERNMENT OF CAPE VERDE;GOVERNMENT OF LUXEMBOURG;UNITED NATIONS DEVELOPMENT PRO
